users_id|roles_sys_name             |
     111|VERIFIER                   |
     111|ORGANIZATIONAL_UNIT_HEAD   |
     111|VODITELJ_POSTUPKA          |
      50|SYSTEM_ADMIN               |
     116|DODJELITELJ_PREDMETA       |
     116|ORGANIZATIONAL_UNIT_HEAD   |
     116|VODITELJ_POSTUPKA          |
     168|INTERNAL_ORGANIZATION_ADMIN|
     168|DODJELITELJ_PREDMETA       |
     168|VERIFIER                   |
     168|ORGANIZATIONAL_UNIT_HEAD   |
     168|VODITELJ_POSTUPKA          |
     193|DODJELITELJ_PREDMETA       |
     193|VERIFIER                   |
     193|ORGANIZATIONAL_UNIT_HEAD   |
     193|VODITELJ_POSTUPKA          |
     171|DODJELITELJ_PREDMETA       |
     171|ORGANIZATIONAL_UNIT_HEAD   |
     115|DODJELITELJ_PREDMETA       |
     115|VERIFIER                   |
     115|ORGANIZATIONAL_UNIT_HEAD   |
     115|VODITELJ_POSTUPKA          |
      43|DODJELITELJ_PREDMETA       |
      43|ORGANIZATIONAL_UNIT_HEAD   |
      43|VODITELJ_POSTUPKA          |
      43|INTERNAL_ORGANIZATION_ADMIN|
     110|DODJELITELJ_PREDMETA       |
     110|VERIFIER                   |
     110|ORGANIZATIONAL_UNIT_HEAD   |
     110|VODITELJ_POSTUPKA          |
      18|INTERNAL_ORGANIZATION_ADMIN|
     116|VERIFIER                   |
      15|INTERNAL_ORGANIZATION_ADMIN|
      16|INTERNAL_ORGANIZATION_ADMIN|
      17|INTERNAL_ORGANIZATION_ADMIN|
      30|INTERNAL_ORGANIZATION_ADMIN|
      19|INTERNAL_ORGANIZATION_ADMIN|
      20|INTERNAL_ORGANIZATION_ADMIN|
      31|INTERNAL_ORGANIZATION_ADMIN|
       1|INTERNAL_ORGANIZATION_ADMIN|
       2|INTERNAL_ORGANIZATION_ADMIN|
       4|INTERNAL_ORGANIZATION_ADMIN|
      14|INTERNAL_ORGANIZATION_ADMIN|
       5|INTERNAL_ORGANIZATION_ADMIN|
       7|INTERNAL_ORGANIZATION_ADMIN|
       9|INTERNAL_ORGANIZATION_ADMIN|
      11|INTERNAL_ORGANIZATION_ADMIN|
      12|INTERNAL_ORGANIZATION_ADMIN|
      32|INTERNAL_ORGANIZATION_ADMIN|
      10|INTERNAL_ORGANIZATION_ADMIN|
      25|INTERNAL_ORGANIZATION_ADMIN|
      24|INTERNAL_ORGANIZATION_ADMIN|
      27|INTERNAL_ORGANIZATION_ADMIN|
      33|INTERNAL_ORGANIZATION_ADMIN|
      34|INTERNAL_ORGANIZATION_ADMIN|
      38|INTERNAL_ORGANIZATION_ADMIN|
      26|INTERNAL_ORGANIZATION_ADMIN|
       8|INTERNAL_ORGANIZATION_ADMIN|
      89|INTERNAL_ORGANIZATION_ADMIN|
      90|INTERNAL_ORGANIZATION_ADMIN|
      91|INTERNAL_ORGANIZATION_ADMIN|
      92|INTERNAL_ORGANIZATION_ADMIN|
      94|INTERNAL_ORGANIZATION_ADMIN|
      95|INTERNAL_ORGANIZATION_ADMIN|
      96|INTERNAL_ORGANIZATION_ADMIN|
      97|INTERNAL_ORGANIZATION_ADMIN|
      99|INTERNAL_ORGANIZATION_ADMIN|
     100|INTERNAL_ORGANIZATION_ADMIN|
     101|INTERNAL_ORGANIZATION_ADMIN|
     103|INTERNAL_ORGANIZATION_ADMIN|
     104|INTERNAL_ORGANIZATION_ADMIN|
     105|INTERNAL_ORGANIZATION_ADMIN|
     107|INTERNAL_ORGANIZATION_ADMIN|
     108|INTERNAL_ORGANIZATION_ADMIN|
      21|INTERNAL_ORGANIZATION_ADMIN|
      98|INTERNAL_ORGANIZATION_ADMIN|
     106|INTERNAL_ORGANIZATION_ADMIN|
